Statistical profiling result from isolate-0x7f952ac00000-2296-v8.log, (184794 ticks, 864 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     66    0.0%    0.0%  LazyCompile: *resolve node:path:1091:10
     66    0.0%    0.0%  LazyCompile: *get serverSession /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/mongodb/lib/sessions.js:93:22
     65    0.0%    0.0%  LazyCompile: *get node:internal/bootstrap/node:92:8
     65    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:420:22
     65    0.0%    0.0%  LazyCompile: *Readable node:internal/streams/readable:181:18
     65    0.0%    0.0%  LazyCompile: *NativeCollection.<computed> /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:74:43
     64    0.0%    0.0%  LazyCompile: *format node:url:581:39
     61    0.0%    0.0%  LazyCompile: *concat node:buffer:541:32
     60    0.0%    0.0%  LazyCompile: *emit node:domain:478:44
     58    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/class-validator/cjs/metadata/MetadataStorage.js:92:68
     57    0.0%    0.0%  LazyCompile: *Socket node:net:317:16
     57    0.0%    0.0%  LazyCompile: *SchemaString.cast /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/mongoose/lib/schema/string.js:582:39
     56    0.0%    0.0%  LazyCompile: *ondata node:internal/streams/readable:752:18
     56    0.0%    0.0%  LazyCompile: *_init /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/mongoose/lib/document.js:781:17
     56    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/dist/shared/mongoose/helpers.js:23:41
     55    0.0%    0.0%  LazyCompile: *$set /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/mongoose/lib/document.js:1045:40
     54    0.0%    0.0%  LazyCompile: *processIncomingData /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/mongodb/lib/cmap/message_stream.js:79:29
     53    0.0%    0.0%  LazyCompile: *Document.$__getValue /Volumes/MacOS/InfraTech/Zaapi/zaapi-chat-service/node_modules/mongoose/lib/document.js:1701:42
